category,Increased-a-lot,Increased-a-little,Same,Decreased-a-little,Decreased-a-lot,Dont-know,level,supercategory
Entire-household,29,50,11,2,1,6,level1,Entire-household
Household-essentials,31,42,17,2,0,7,level1,Household-essentials
Rent-mortgage,8,16,56,3,1,16,level1,Rent-mortgage
Energy-bills,43,29,15,1,0,11,level1,Energy-bills
Other-household-bills,21,40,26,2,1,10,level1,Other-household-bills
Transport,21,28,32,3,3,13,level1,Transport
Leisure-costs,16,33,25,6,5,15,level1,Leisure-costs
18-24,19,37,18,5,1,21,level2,Entire-household
25-34,24,50,15,3,0,8,level2,Entire-household
35-49,36,44,11,2,1,6,level2,Entire-household
50-64,32,58,7,2,0,1,level2,Entire-household
65+,25,62,10,1,0,1,level2,Entire-household
18-24,12,35,23,6,1,23,level2,Household-essentials
25-34,26,39,23,1,1,11,level2,Household-essentials
35-49,36,41,18,2,1,3,level2,Household-essentials
50-64,39,44,12,2,0,1,level2,Household-essentials
65+,30,53,12,2,0,3,level2,Household-essentials
18-24,5,13,39,9,1,32,level2,Rent-mortgage
25-34,10,16,53,4,1,15,level2,Rent-mortgage
35-49,12,17,59,2,1,9,level2,Rent-mortgage
50-64,5,19,60,1,2,14,level2,Rent-mortgage
65+,3,13,57,1,0,26,level2,Rent-mortgage
18-24,21,24,21,1,2,30,level2,Energy-bills
25-34,43,28,11,1,0,16,level2,Energy-bills
35-49,49,25,16,2,0,8,level2,Energy-bills
50-64,47,36,14,0,0,3,level2,Energy-bills
65+,43,32,18,1,0,6,level2,Energy-bills
18-24,15,22,26,4,4,28,level2,Other-household-bills
25-34,18,38,24,3,2,15,level2,Other-household-bills
35-49,24,40,26,2,1,8,level2,Other-household-bills
50-64,26,45,25,0,0,3,level2,Other-household-bills
65+,17,47,28,1,0,6,level2,Other-household-bills
18-24,18,21,27,9,4,21,level2,Transport
25-34,20,28,30,5,7,11,level2,Transport
35-49,22,31,30,2,4,11,level2,Transport
50-64,23,32,32,1,1,10,level2,Transport
65+,18,22,41,1,0,17,level2,Transport
18-24,10,26,27,9,2,25,level2,Leisure-costs
25-34,15,34,25,8,3,16,level2,Leisure-costs
35-49,19,31,26,6,6,13,level2,Leisure-costs
50-64,16,37,25,6,5,11,level2,Leisure-costs
65+,15,34,24,3,5,18,level2,Leisure-costs
Full-time,30,51,12,2,0,4,level3,Entire-household
Part-time,29,50,10,3,2,6,level3,Entire-household
Student,21,38,20,3,0,17,level3,Entire-household
Retired,23,63,12,1,0,1,level3,Entire-household
Unemployed,32,44,10,4,0,9,level3,Entire-household
Full-time,31,44,18,2,1,5,level3,Household-essentials
Part-time,31,43,16,4,1,6,level3,Household-essentials
Student,16,30,25,5,0,25,level3,Household-essentials
Retired,30,53,14,1,0,2,level3,Household-essentials
Unemployed,33,33,22,3,0,9,level3,Household-essentials
Full-time,9,17,60,3,1,10,level3,Rent-mortgage
Part-time,9,18,54,2,2,15,level3,Rent-mortgage
Student,10,11,44,4,0,32,level3,Rent-mortgage
Retired,3,13,56,1,1,26,level3,Rent-mortgage
Unemployed,8,19,51,2,1,20,level3,Rent-mortgage
Full-time,45,29,16,1,0,9,level3,Energy-bills
Part-time,40,33,19,0,0,9,level3,Energy-bills
Student,24,18,19,3,1,35,level3,Energy-bills
Retired,42,34,18,2,0,4,level3,Energy-bills
Unemployed,48,26,6,4,1,15,level3,Energy-bills
Full-time,21,42,26,1,1,8,level3,Other-household-bills
Part-time,21,44,22,3,2,9,level3,Other-household-bills
Student,14,22,31,4,0,29,level3,Other-household-bills
Retired,18,46,30,1,0,5,level3,Other-household-bills
Unemployed,20,32,27,2,2,17,level3,Other-household-bills
Full-time,21,31,32,3,4,9,level3,Transport
Part-time,19,33,26,6,4,12,level3,Transport
Student,21,15,37,5,2,19,level3,Transport
Retired,20,22,41,2,1,14,level3,Transport
Unemployed,19,30,28,4,1,18,level3,Transport
Full-time,18,35,26,7,3,11,level3,Leisure-costs
Part-time,16,31,28,7,4,13,level3,Leisure-costs
Student,15,23,27,11,3,22,level3,Leisure-costs
Retired,15,34,25,5,5,16,level3,Leisure-costs
Unemployed,13,35,22,3,4,23,level3,Leisure-costs
"20,000-or-less",35,44,13,3,0,4,level4,Entire-household
"20,000-39,999",27,55,12,2,1,4,level4,Entire-household
"40,000-69,999",28,58,10,1,0,3,level4,Entire-household
"70,000+",27,58,10,2,0,3,level4,Entire-household
Dont-know,21,43,9,4,0,23,level4,Entire-household
Unknown,29,44,13,2,2,11,level4,Entire-household
"20,000-or-less",34,40,19,3,1,2,level4,Household-essentials
"20,000-39,999",32,43,16,2,1,5,level4,Household-essentials
"40,000-69,999",32,50,13,2,0,3,level4,Household-essentials
"70,000+",29,46,21,2,0,2,level4,Household-essentials
Dont-know,17,25,28,2,0,28,level4,Household-essentials
Unknown,31,41,14,3,1,10,level4,Household-essentials
"20,000-or-less",8,20,52,5,1,14,level4,Rent-mortgage
"20,000-39,999",7,16,56,3,1,16,level4,Rent-mortgage
"40,000-69,999",11,16,61,2,1,8,level4,Rent-mortgage
"70,000+",4,19,67,2,1,7,level4,Rent-mortgage
Dont-know,7,8,46,4,0,36,level4,Rent-mortgage
Unknown,8,16,49,1,1,25,level4,Rent-mortgage
"20,000-or-less",39,35,17,2,1,6,level4,Energy-bills
"20,000-39,999",44,31,16,1,1,7,level4,Energy-bills
"40,000-69,999",47,29,17,1,0,6,level4,Energy-bills
"70,000+",43,32,17,1,0,6,level4,Energy-bills
Dont-know,28,26,13,1,0,32,level4,Energy-bills
Unknown,48,22,13,1,0,16,level4,Energy-bills
"20,000-or-less",24,35,30,2,4,6,level4,Other-household-bills
"20,000-39,999",19,41,26,3,1,9,level4,Other-household-bills
"40,000-69,999",23,42,28,2,0,5,level4,Other-household-bills
"70,000+",18,45,31,1,0,5,level4,Other-household-bills
Dont-know,13,30,22,1,2,32,level4,Other-household-bills
Unknown,23,38,21,2,1,14,level4,Other-household-bills
"20,000-or-less",21,22,41,3,2,11,level4,Transport
"20,000-39,999",20,34,29,2,2,13,level4,Transport
"40,000-69,999",23,29,36,3,1,7,level4,Transport
"70,000+",15,36,33,4,8,4,level4,Transport
Dont-know,18,17,30,8,3,25,level4,Transport
Unknown,21,30,24,1,2,21,level4,Transport
"20,000-or-less",18,24,25,8,8,18,level4,Leisure-costs
"20,000-39,999",16,28,23,9,6,17,level4,Leisure-costs
"40,000-69,999",17,42,27,6,1,6,level4,Leisure-costs
"70,000+",18,42,26,4,3,7,level4,Leisure-costs
Dont-know,13,19,30,5,2,30,level4,Leisure-costs
Unknown,12,35,25,3,5,21,level4,Leisure-costs
